name,address,categories,rating,user_ratings_total,place_id,lat,lng,sources
Booba Kat,"Av. Sendero Divisorio 442-Local 21, La Nogalera 3er Sector, 66417 Cdad. Gral. Escobedo, N.L., 墨西哥",甜品/茶饮,4.8,39,ChIJ4UM6XBiVYoYRFHhHY-sZlIs,25.7685652,-100.2750728,奶茶｜蒙特雷
Bread House Korean Bakery,"Ojo de Agua 501-Local 016, Privadas Borneo, 66632 Cdad. Apodaca, N.L., 墨西哥",甜品/茶饮,4.9,40,ChIJ7dPlr3rrYoYRKxyxvVrnrGM,25.7709331,-100.2151202,烘焙｜蒙特雷
Brush Hair Care,"Av. José Vasconcelos 200-Local 5, Sin Nombre de Col 7, 66220 Monterrey, N.L., 墨西哥",美容/美发/美甲,4.4,7,ChIJqfznfOm9YoYRjsPnSiCCasY,25.6516083,-100.3663475,美容｜蒙特雷
BS SALON,"Av. Anillo Periferico 1807, Rincón de San Jerónimo, 64637 Monterrey, N.L., 墨西哥",美容/美发/美甲,4.4,32,ChIJacteMT-WYoYRJh-pJM6EMW4,25.6922546,-100.3773806,美容｜蒙特雷
Buffet Picas,"José María Morelos 556, Centro, 64000 Monterrey, N.L., 墨西哥",餐饮,3.9,1907,ChIJYYpSji6-YoYRTFHvnWwI_IE,25.6670233,-100.3114912,mala tang｜蒙特雷
Bukle's,"Av Pedro Infante, Mirador de Las Mitras, 64348 Monterrey, N.L., 墨西哥",美容/美发/美甲,4.1,38,ChIJV-DCut6WYoYRtr0pXSF_EYA,25.7448152,-100.3898997,发廊｜蒙特雷 | 美发｜蒙特雷
BX | Beauty Experience Liverpool,"Tienda Liverpool, Carretera Nacional 245 Centro comercial, Supermanzana Esfera planta baja, La Rioja, 64985 Monterrey, N.L., 墨西哥",美容/美发/美甲,3.8,9,ChIJCZ4mICfHYoYRUh1IzvWaBvs,25.57571,-100.243089,美容｜蒙特雷
C.LO SALON HAIR CREATIONS,"San Andrés 214, California Residencial, 66055 Cdad. Gral. Escobedo, N.L., 墨西哥",美容/美发/美甲,4.7,7,ChIJ82K9noeTYoYRvvFAKoD6BGs,25.769879,-100.3135729,发廊｜蒙特雷 | 理发｜蒙特雷
"Car Service - Sonido, Alarmas, Climas, Chapas, Elevadores","Av. Solidaridad 6608, San Bernabé (Fomerrey 51), 64107 Monterrey, N.L., 墨西哥",汽车/维修,4.6,21,ChIJ--gcMLOXYoYRiTiTjVQNK9I,25.7581099,-100.3880669,修车｜蒙特雷
Carelia Spa,"Senda Perpetua 6112, Villa Las Fuentes, 64890 Monterrey, N.L., 墨西哥",按摩/养生,5,21,ChIJRZwU_S6_YoYR-5lZ88p7cU0,25.6124162,-100.2627468,按摩｜蒙特雷
"CARFIX mechanical workshop in Monterrey, Nuevo León","Av. A. Ruiz Cortines Pte. 1096, Central de Carga, 67129 Monterrey, N.L., 墨西哥",汽车/维修,4.3,69,ChIJmUqZRZXqYoYRw1Pb7nd6ZcI,25.703221,-100.2367433,修车｜蒙特雷
Carl's Jr.,"Carretera Camino a Huinala, Av. Miguel Alemán 100, Valle de Huinala II, 66600 Cdad. Apodaca, N.L., 墨西哥",餐饮,4.4,4074,ChIJ0zO6HN7rYoYR96oGENLNAWU,25.7473556,-100.200246,mala tang｜蒙特雷
Carol Nails Mty,"Av. Las Torres 211, Roble Nuevo, 66055 Cdad. Gral. Escobedo, N.L., 墨西哥",美容/美发/美甲,4.9,40,ChIJAznGpfyTYoYRj5bbcF8THBw,25.784761,-100.3148631,美甲｜蒙特雷
